"filename", "language", "JSON", "Properties", "Markdown", "JavaScript", "HTML", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/index.js", "JavaScript", 0, 0, 0, 5, 0, 0, 0, 0, 3, 1, 9
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useButtonLoading.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 0, 10, 6, 36
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useCountdown.js", "JavaScript", 0, 0, 0, 46, 0, 0, 0, 0, 11, 10, 67
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useModalState.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 0, 14, 6, 35
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useReCaptcha.js", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 7, 17, 98
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/hooks/useTokenizedImage.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 0, 3, 8, 61
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 66, 0, 10, 76
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/main.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 0, 0, 6, 50
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/CompleteProfile.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 192, 0, 0, 14, 27, 233
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/LandingPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 92, 2, 13, 107
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/LandingPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 160, 0, 0, 1, 13, 174
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/LinkGoogleAccount.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 107, 0, 0, 12, 21, 140
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/Login.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 381, 0, 0, 49, 59, 489
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/Register.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 439, 0, 0, 27, 38, 504
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/VerifyCode.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 454, 0, 0, 63, 75, 592
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/admin/Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 149, 0, 0, 11, 10, 170
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/admin/UserManagement.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 438, 0, 0, 48, 51, 537
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/Availability.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 417, 0, 0, 24, 39, 480
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/CoachSchedule.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 275, 0, 0, 27, 29, 331
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 316, 0, 0, 20, 22, 358
"/Users/huyanjie/Documents/fitness_centres/frontend_Vite/src/pages/coach/Details.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 881, 0, 0, 71, 84, 1036
